selected,project,is_fork,stars,forks,watchers,commits,authors,loc,locJava,authorTotal,jmhTests,jmhAuthors,score,name
YES,46726742,0,0,0,0,128,4,26557,25583,4,27,1,36712.3968,Alex-Diez/java-tdd-katas
NO,39368558,1,0,0,1,1174,65,56315,50041,65,39,1,16759850.835,JayhJung/Hystrix
NO,59769825,1,0,0,1,62,7,20672,3149,7,14,1,12560.3072,ilya-g/pcollections
YES,16678960,0,520,454,89,52,12,7251,7127,12,26,2,6129055.6704,RichardWarburton/java-8-lambdas-exercises
NO,29324832,1,0,0,1,550,13,21511,20522,13,24,1,369128.76,rspieldenner/spectator
YES,18870967,0,0,0,1,2,1,331,157,1,8,1,0.5296,henri-tremblay/microbenchmarkingwithjmh
NO,77878277,1,0,0,6,0,0,28490,21839,0,6,3,0,thelastpickle/metrics
NO,43287427,1,0,0,1,40,7,7204,7080,7,26,2,5244.512,weebl2000/java-8-lambdas-exercises
YES,25366032,0,2,0,1,72,2,381,200,2,1,1,16.4592,spriet2000/handlers
NO,39756738,1,0,0,1,1183,66,56340,50049,66,39,1,17155766.628,sposam/Hystrix
