"project","className","benchmarkName","sameConfig","warmupIterationsPre","warmupIterationsPost","warmupTimePre","warmupTimePost","measurementIterationsPre","measurementIterationsPost","measurementTimePre","measurementTimePost","forksPre","forksPost"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.classic.ClassicAsyncPerf","flowableExecutor","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.classic.ClassicAsyncPerf","flowableForkJoin","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.AkkaStreamsReactorCrossMapPerf","flatMapAkkaAkka","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.AkkaStreamsReactorCrossMapPerf","concatMapAkkaAkka","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.AkkaStreamsReactorCrossMapPerf","flatMapAkkaRx","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.AkkaStreamsReactorCrossMapPerf","concatMapAkkaRx","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.AkkaStreamsReactorCrossMapPerf","concatMapRxAkka","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.AkkaStreamsReactorCrossMapPerf","flatMapRxAkka","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.AkkaStreamsReactorCrossMapPerf","concatMapAkkaRxAkka","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.AkkaStreamsReactorCrossMapPerf","flatMapAkkaRxAkka","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.AkkaStreamsReactorCrossMapPerf","concatMapRxRx","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.AkkaStreamsReactorCrossMapPerf","flatMapRxRx","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.iterables.LambdaSingletonPerf","lambda","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.scrabble.ShakespearePlaysScrabbleWithAkkaStreamBeta","measureThroughput","true","5","5","","","5","5","","","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.scrabble.ShakespearePlaysScrabbleWithAkkaStreamOpt","measureThroughput","true","5","5","","","5","5","","","1","1"
