"project","className","jmhVersion","benchmarkName","executionTimePercentage","warmupTimePercentage","measurementTimePercentage","measurementWarmupRatio","stars","forks","watchers","numberOfCommits","numberOfContributors","numberOfBenchmarks"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.scrabble.ShakespearePlaysScrabbleWithJOOLOpt","1.21","measureThroughput","0.02","0.02","0.02","1.0","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.scrabble.ShakespearePlaysScrabbleWithRxJava2ObservableOpt","1.21","measureThroughput","0.02","0.02","0.02","1.0","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.scrabble.ShakespearePlaysScrabbleWithIEOpt","1.21","measureThroughput","0.02","0.02","0.02","1.0","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.OnesTypesFlatMap2Perf","1.21","flowableMaybe","0.11","0.2","0.02","0.1","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.OnesTypesFlatMap2Perf","1.21","mergeMaybe","0.11","0.2","0.02","0.1","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.OnesTypesFlatMap2Perf","1.21","observableMaybe","0.11","0.2","0.02","0.1","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.OnesTypesFlatMap2Perf","1.21","flowableSingle","0.11","0.2","0.02","0.1","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.OnesTypesFlatMap2Perf","1.21","observableSingle","0.11","0.2","0.02","0.1","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.OnesTypesFlatMap2Perf","1.21","fluxMono","0.11","0.2","0.02","0.1","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ReactiveStreamsImplsAsync","1.21","rangeAsync_rx","0.12","0.2","0.04","0.2","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ReactiveStreamsImplsAsync","1.21","rangePipeline_rx","0.12","0.2","0.04","0.2","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ReactiveStreamsImplsAsync","1.21","rangeAsync_rx2","0.12","0.2","0.04","0.2","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ReactiveStreamsImplsAsync","1.21","rangePipeline_rx2","0.12","0.2","0.04","0.2","37","10","6","235","2","368"
