project;commit;benchmark;params;i10;i100;factor
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.MemoryHandlerJULBenchmark.throughput6Params;;0.077934369;0.07393495;0.948682213
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.oldCachedClock;;0.013682877;0.073768412;5.39129383
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.MemoryHandlerJULBenchmark.throughput10Params;;0.133573677;0.07355094;0.550639481
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithoutProperties;count=5,threadContextMapAlias=NoGcSortedArray;0.0977159;0.073482964;0.752006218
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.TextEncoderHelperBenchmark.textEncoderEncode;;0.054382599;0.073224503;1.346469361
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.UnboxBenchmark.boxBoolean;;0.078723335;0.073114965;0.928758482
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.PatternLayoutBenchmark.serializableSpace;;0.063165511;0.072558939;1.148711352
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.UnboxBenchmark.boxLong;;0.176459786;0.072245437;0.40941587
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.DebugDisabledBenchmark.log4jClassicDebugStringConcatenation;;0.032589272;0.072185654;2.215012749
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.getValueArrayContextData;count=5,length=20;0.027204319;0.072105014;2.650498726
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.getValueMap;count=500,length=20;0.008409841;0.071572621;8.510580011
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.PatternLayoutComparisonBenchmark.logback;;0.05111785;0.070739507;1.38385137
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput10Params;;0.028050774;0.070499931;2.513297153
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.singleLoggingThread;asyncLoggerType=ASYNC_CONTEXT,queueFullPolicy=ENQUEUE_UNSYNCHRONIZED;0.102842164;0.069759806;0.678319117
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.FileAppenderThrowableBenchmark.complexLogbackFile;;0.03448394;0.068565023;1.988317557
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.FileAppenderThrowableBenchmark.complexLog4j2Throwable;;0.016772654;0.068474692;4.082519768
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.ThreadLocalVsPoolBenchmark.objectPool;;0.029703502;0.068395493;2.302607047
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.FormatterLoggerBenchmark.throughputStringFormatDouble;;0.325562396;0.068347074;0.209935407
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.ReflectionBenchmark.test09_getMessageUsingNew;;0.071508807;0.068180054;0.953449745
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.FileAppenderThrowableBenchmark.log4j2Throwable;;0.019602856;0.0679678;3.467239759
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput3Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.025965361;0.067731795;2.608544294
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.DebugDisabledBenchmark.log4jDebugParameterizedString;;7.92E-02;0.067295649;0.849345529
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.LoggerConfigBenchmark.logWithCountersAndLock;;0.018562217;0.0664799;3.581463379
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.LoggerConfigBenchmark.logWithCountersNoLocks;;0.05493598;0.066292424;1.206721421
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.FormatterLoggerBenchmark.throughputStringFormatString;;0.056708484;0.065888137;1.161874419
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput5Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.023232918;0.065511919;2.819788655
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.utf8Encode;;0.01001682;0.065497152;6.538716958
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.PatternLayoutBenchmark.byteArrayD;;0.028534517;0.065356034;2.290420215
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithoutProperties;count=50,threadContextMapAlias=CopyOpenHash;0.023118389;0.064704809;2.798845986
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.JdbcAppenderBenchmark.testResponseTimeHSQLDBMessage;;0.009478994;0.064462556;6.800569364
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.FileAppenderParamsBenchmark.param1JulFile;;0.025659026;0.064350313;2.507901612
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.TimeFormatBenchmark.fixedDateFormatCreateNewCharArray;;0.027334893;0.06426721;2.351105236
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.VarargsBenchmark.individualParams;;0.039698281;0.064169933;1.616441102
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithoutProperties;count=5,threadContextMapAlias=CopyOpenHash;0.239456892;0.063762736;0.266280646
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.ThreadLocalVsPoolBenchmark._stringObjectPool;;0.035093838;0.063107408;1.798247556
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.CollectionsBenchmark.iterArrayList3Element;;0.02403923;0.06224704;2.58939406
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.DebugDisabledBenchmark.slf4jDebugParameterizedString;;0.026166073;0.061982821;2.368824007
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.MemoryHandlerJULBenchmark.throughput3Params;;0.064243723;0.061527563;0.95772101
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.Log4jLogEventBenchmark.createSerializableLogEventProxyWithException;;0.017092286;0.060953125;3.566119013
